Cell_ID,Sample,x,y,Cell_Type
mouse2_slice229-103048632532322352515922933885407085213,mouse2_slice229,-4992.81430818886,-1249.69285257384,L2/3 IT
mouse2_slice229-103074314133418491778000749982094080057,mouse2_slice229,-4819.2883073017,-1352.69153023511,PVM
mouse2_slice229-103108844235928802096539054360959421165,mouse2_slice229,-6038.49280665815,-2048.4885026142,Oligo
mouse2_slice229-103160539954812990479433467410970983132,mouse2_slice229,-5777.51580870152,-1349.00253035873,L5 IT
mouse2_slice229-103175111477104604997319264033011708263,mouse2_slice229,-5109.4808859814,-1069.76302631199,L2/3 IT
mouse2_slice229-103463744902856765376062564932023898089,mouse2_slice229,-5611.58480755985,-657.187876733392,VLMC
mouse2_slice229-103484973497626203283535831886299665239,mouse2_slice229,-5775.56280876696,-1945.73900605738,L6 CT
mouse2_slice229-103635990431580242873621361524895022091,mouse2_slice229,-5199.96988294907,-1487.23152572662,L4/5 IT
mouse2_slice229-103690439218659520382074079745464220490,mouse2_slice229,-4624.93030711263,-1093.47570051737,Astro
mouse2_slice229-103835985753694302170738920027114373819,mouse2_slice229,-5965.78695909455,-1216.96925367042,L4/5 IT
mouse2_slice229-103871654417229447319710414413865334987,mouse2_slice229,-5187.76905835792,-1607.25617840663,L5 IT
mouse2_slice229-104066369000650209757187597253493222187,mouse2_slice229,-5781.96430855244,-940.110955656692,L2/3 IT
mouse2_slice229-104193218281319601379846022126996731556,mouse2_slice229,-6638.27580666542,-1332.29353091866,Astro
mouse2_slice229-104227608032477079509790377876906344662,mouse2_slice229,-5667.19105569646,-1422.51127789542,Peri
mouse2_slice229-104470672757643330238329775923399070097,mouse2_slice229,-5582.72380852699,-1821.03257853426,L6 CT
mouse2_slice229-104485970537380819142649435233359530902,mouse2_slice229,-4865.07530576736,-1914.9990003854,Pvalb
mouse2_slice229-10453800953161183373074409884463232684,mouse2_slice229,-5527.92046036348,-1682.98917586878,Endo
mouse2_slice229-104634360427280663440896614847927754417,mouse2_slice229,-4965.68930909783,-2007.58400398493,Endo
mouse2_slice229-104824583169538019696538302325803943907,mouse2_slice229,-6244.35723146163,-1768.30700530112,L6 CT
mouse2_slice229-10483187773618645881455301519495847193,mouse2_slice229,-6440.55430658907,-1270.18850188702,L5 IT
mouse2_slice229-104891360230820378243084307795007409208,mouse2_slice229,-6173.66405883059,-1657.23127673194,OPC
mouse2_slice229-104948796411506909700115911732124159884,mouse2_slice229,-6643.65198148526,-664.338026493788,Lamp5
mouse2_slice229-105096692031114589367036444587749175517,mouse2_slice229,-5217.27563236915,-814.636503748596,Astro
mouse2_slice229-105104132227207977705513572111600526450,mouse2_slice229,-4959.39630930871,-1986.74115468338,L6 CT
mouse2_slice229-10510469470033623932891214658435135544,mouse2_slice229,-4748.86095966175,-2109.93400725722,L6 IT
mouse2_slice229-105107392596334219206420243285073113333,mouse2_slice229,-6354.24255948141,-1184.03950477391,L5 IT
mouse2_slice229-105147536953617321565190675031058449557,mouse2_slice229,-6099.39581131935,-1362.78202989697,L5 IT
mouse2_slice229-105174251808451514168146177483375499643,mouse2_slice229,-5234.47830679268,-1395.00652881712,L4/5 IT
mouse2_slice229-105266806557010807755230851965545209234,mouse2_slice229,-5169.1070589833,-994.404353837296,L2/3 IT
mouse2_slice229-105274104338384578916210274862281621160,mouse2_slice229,-5310.1373109594,-1377.42952940613,Pvalb
mouse2_slice229-105328945448648260067343264873846613782,mouse2_slice229,-5775.18305877969,-1697.91877536848,L6 CT
mouse2_slice229-105348772846728067595135050895560079592,mouse2_slice229,-6358.30588434525,-1219.30742859207,Astro
mouse2_slice229-105371227126384923425652814303203673634,mouse2_slice229,-5147.46673470847,-1150.18208090849,L2/3 IT
mouse2_slice229-10540705476382696444774461005775789625,mouse2_slice229,-4587.92095835283,-1148.88550595194,L2/3 IT
mouse2_slice229-10541309892915671061155954963572854877,mouse2_slice229,-6215.16530743986,-985.675529129803,L4/5 IT
mouse2_slice229-105464262850355120107044283106449298093,mouse2_slice229,-5077.22730536014,-1524.32767448351,L4/5 IT
mouse2_slice229-10549575495138718125597678322843770784,mouse2_slice229,-5341.2768099159,-2291.02050118893,Oligo
mouse2_slice229-105509016825098006255316682481704417200,mouse2_slice229,-6018.19245733842,-1691.56067558154,L5 IT
mouse2_slice229-105578416613984280739732517883162456055,mouse2_slice229,-5669.30680562556,-1190.65800455213,L4/5 IT
mouse2_slice229-105600757302457357620272734598603908179,mouse2_slice229,-5416.5758073926,-907.946500621736,L2/3 IT
mouse2_slice229-105646814530737186383880538532929576305,mouse2_slice229,-6137.69631003588,-797.938354308158,L2/3 IT
mouse2_slice229-105698829595013435351359070784271261669,mouse2_slice229,-6432.21065686867,-811.164503864944,L2/3 IT
mouse2_slice229-105777464130395303893565428019585437995,mouse2_slice229,-5650.53088125475,-727.565256666392,Astro
mouse2_slice229-105797973972579092232546302461926959690,mouse2_slice229,-6126.4665604122,-782.737504817545,L2/3 IT
mouse2_slice229-105921868399621725519593470397944032818,mouse2_slice229,-4826.22688206919,-1369.40052967519,PVM
mouse2_slice229-105939365010975201408810452855615615145,mouse2_slice229,-5683.0863051638,-2190.33250456303,Micro
mouse2_slice229-105950354506126648174112112640238090657,mouse2_slice229,-5106.82263607047,-878.277176615968,Endo
mouse2_slice229-105992666190978605922497891254415612995,mouse2_slice229,-4877.2164553605,-2445.44805505648,Peri
mouse2_slice229-106178871493087465246507860978041322153,mouse2_slice229,-6457.80580601096,-743.026506148279,L2/3 IT
mouse2_slice229-106335592696975327464849472165757132883,mouse2_slice229,-4619.39680729806,-1383.60860419907,Lamp5
mouse2_slice229-106369855527777758379721698057203856781,mouse2_slice229,-5645.43680642545,-1940.42250623554,Endo
mouse2_slice229-106388137605854230127552478350333806452,mouse2_slice229,-5226.50355705991,-2084.18500141799,Endo
mouse2_slice229-10644641419456425422624810005404505868,mouse2_slice229,-5315.00896079615,-946.192380452901,Endo
mouse2_slice229-106468343746295821942586471597716292548,mouse2_slice229,-4778.38380867243,-1983.38850479573,L6 IT
mouse2_slice229-106536914343886247621244708197651994422,mouse2_slice229,-6580.93355858698,-1451.31802693009,L6 IT
mouse2_slice229-10653958251601734663872141477815278612,mouse2_slice229,-4851.9468062073,-1079.96202597022,L2/3 IT
mouse2_slice229-106618522400900125165530898758048266218,mouse2_slice229,-5910.1373109594,-730.332006573677,Endo
mouse2_slice229-106749222760030063944493873862040658570,mouse2_slice229,-6489.0991616644,-1752.68300582469,L6 CT
mouse2_slice229-106805841108644921454517905767604816749,mouse2_slice229,-5214.51430746168,-2316.19250034541,Astro
mouse2_slice229-106892378504517974980449563585613770285,mouse2_slice229,-4747.67830970138,-1626.68852775544,Sst
mouse2_slice229-106968720517281227288054983849132938131,mouse2_slice229,-6003.23030783981,-1297.85600095987,L5 IT
mouse2_slice229-107054516144560168749606100681392152219,mouse2_slice229,-5295.23287975676,-1362.03337992206,L4/5 IT
mouse2_slice229-107112665861930265788711993279038253323,mouse2_slice229,-5630.7893069163,-1774.60000509024,Sst
mouse2_slice229-107256116185101895818589956138774781817,mouse2_slice229,-4984.56830846518,-1438.73202735186,L4/5 IT
mouse2_slice229-107330300335053849509112600172370617374,mouse2_slice229,-6138.6836600028,-1535.34238081649,L5 ET
